contractSymbol,strike,Time to Maturity (Years),fairPrice,BS_Price,BS_Price_Function,Implied Volatility
SPX250620C06050000,6050.0,0.5917808219178082,240.45,178.67766228154596,1210.3057186945607,
SPX250620C06075000,6075.0,0.5917808219178082,226.5,167.23762684538724,1191.0482604399876,
SPX250620C06100000,6100.0,0.5917808219178082,213.0,156.31293785105436,1171.7908214626768,
SPX250620C06125000,6125.0,0.5917808219178082,199.95,145.8980634919376,1152.5334104343,
SPX250620C06150000,6150.0,0.5917808219178082,187.4,135.98612761108097,1133.2760395895439,
SPX250620C06175000,6175.0,0.5917808219178082,175.4,126.56898276568245,1114.01872604264,
SPX250620C06200000,6200.0,0.5917808219178082,163.9,117.6372916045375,1094.7614935310112,
SPX250620C06225000,6225.0,0.5917808219178082,152.9,109.18061531735316,1075.5043747027084,
SPX250620C06250000,6250.0,0.5917808219178082,142.45,101.18750787484532,1056.2474140888671,
SPX250620C06300000,6300.0,0.5917808219178082,122.95,86.54177491218024,1017.7342290534862,
SPX250620C06350000,6350.0,0.5917808219178082,105.6,73.5922019160214,979.2227059134239,
SPX250620C06400000,6400.0,0.5917808219178082,90.2,62.22132510495271,940.7141782429007,
SPX250620C06450000,6450.0,0.5917808219178082,76.6,52.30539940600124,902.2108915181407,
SPX250620C06500000,6500.0,0.5917808219178082,64.7,43.717533871365504,863.7165115749585,
SPX250620C06550000,6550.0,0.5917808219178082,54.45,36.33056365762741,825.2368436906754,
SPX250620C06600000,6600.0,0.5917808219178082,45.6,30.019578851405754,786.7808097010557,
SPX250620C06650000,6650.0,0.5917808219178082,38.05,24.66405849356977,748.3617216565672,
SPX250620C06700000,6700.0,0.5917808219178082,31.55,20.149584842444142,709.9988705147898,
SPX250620C06800000,6800.0,0.5917808219178082,21.6,13.223980257390565,633.5605141510614,
SPX250620C06900000,6900.0,0.5917808219178082,14.65,8.488855711962628,557.8164759594565,
SPX250620C07000000,7000.0,0.5917808219178082,10.0,5.332252042880697,483.3465560323075,
SPX250620C07100000,7100.0,0.5917808219178082,7.0,3.2790786713858466,411.00808039334606,
SPX250620C07200000,7200.0,0.5917808219178082,5.050000000000001,1.975122324178571,341.93215400178815,
SPX250620C07300000,7300.0,0.5917808219178082,3.75,1.165924383328317,277.4417286153548,
SPX250620C07400000,7400.0,0.5917808219178082,2.85,0.6748736239830535,218.888993966822,
SPX250620C07500000,7500.0,0.5917808219178082,2.2,0.383262960133667,167.4424172127533,
SPX250620C07600000,7600.0,0.5917808219178082,1.75,0.21366967599513487,123.88006685835262,
SPX250620C07700000,7700.0,0.5917808219178082,1.375,0.11700664886178114,88.4506924804814,
SPX250620C07800000,7800.0,0.5917808219178082,1.15,0.06297218209185473,60.84313252621587,
SPX250620C07900000,7900.0,0.5917808219178082,0.95,0.033327604458961435,40.26759189900167,
SPX250620C08000000,8000.0,0.5917808219178082,0.8,0.017354808166210045,25.616698937477167,
SPX250620C08100000,8100.0,0.5917808219178082,0.85,0.008896821838867697,15.655036855829508,
SPX250620C08200000,8200.0,0.5917808219178082,0.6,0.0044924522738931105,9.187978486707038,
SPX250620C08300000,8300.0,0.5917808219178082,0.55,0.002235601392747283,5.178504720381227,
SPX250620C08400000,8400.0,0.5917808219178082,0.6,0.0010969598649502171,2.8033954739075284,
SPX250620C08500000,8500.0,0.5917808219178082,0.4,0.0005309942300060141,1.4581879790602414,
SPX250620C08600000,8600.0,0.5917808219178082,0.425,0.0002536896334580062,0.7291333456925173,
SPX250620C08700000,8700.0,0.5917808219178082,0.375,0.00011968355907101408,0.3506941889871875,
SPX250620C08800000,8800.0,0.5917808219178082,0.35,5.578069721576609e-05,0.16236037173145235,
